,Video ID,Video Uploader,Interval between YouTube Establishment and Video Upload,Video Category,Video Length,Number of Views,Rating on the Video,Number of Ratings,Number of Comments,Related Video IDs,Number of Related Videos,Video Popularity
681,ixRhRI5eXyU,kemlye1,1105,Music,596,251876,4.81,587,260,"MdOAr_4FJvc,fm0T7_SGee4,O_3XRx8EnuI,-cTGZRtB8FY,h8oBykb_Pqs,zhpqXbndFvQ,p6FFQ3CJcBU,CGPUuPHdHQg,nzaw_Gk9BAU,xaYiv-mDOwo,bxKsLtElxXc,D7bsR8kD29M,xpI6VNvRTII",13,252727.81
682,qsGQ10kN_U8,Paperlilies,1037,Comedy,182,1725886,4.21,8996,9462,"S04zVqLWTO0,m3ceCMpPJgc,UlkzgI_jNUg,ZlrJ02yNxNo,9DuQHR6wnn4,WIYtbZB4SHw,fAY_HaH3B9o,GUTrn3Bbjbs,x-U4R-weCrQ,vUE1Cu04Jzo,y8baqly5cVI,ylPqlrBoyRY,ZyXXlvJZhW8",13,1744348.21
683,_Rg_EgN5c7g,hvkumar,817,News & Politics,306,567,0,0,0,"CwPq1CBTAx0,_HdPpVElqqY,ElY5Y8ITYlA,mmikf4Bi6y8,TedriAUCH9o,yRdxwhP5F34,_5zVucx1UzY,1JU8Os3yNEI,vsTVZqDolzk,PNRLGBy7I_E,AUbkxvhW70E,8E3WEZLKEUI,eo-5bKaO1oo",13,567
684,Q7aOZ3oYf6w,madeinwiejska,1079,Comedy,20,613049,4.73,1899,1095,"xvnsCn9l0C0,vvDp1B99S8s,ok-zvxXgA2s,_7uM1SBRuSw,14alLh3LglQ,Fs2zEOLj6Og,ymidgnVLyaI,J8dlKuUsbI8,OaDSiGQVEBg,b0MaZ1rdwwU,BhrxTHqGDI4,lzSHagDvFzg,O0T_3gki1d0",13,616047.73
685,Gls2WeY0ojI,thelonefilmmaker,1093,Comedy,162,4480,4.82,56,34,"DEZeUm2ICMk,m1E0ScX7Cyw,MADc06HfOyA,1nZvN00-om8,v57xuSwjzkw,wbM1GfjQSWA,g9lDvuXrBWI,ILCYbCcvkR4,CQBitMUtMms,ifDn1efCzQE,Fy-g9_cVmMM,Nq-gMpmo3EE,NeVtBasfQzM",13,4574.82
686,q_zaorCe0pw,theshirtevent,1050,People & Blogs,464,118,5,1,7,"69WkQj-mdt4,pTeXbHH-etM,ACVZp-UMD0Y,YgGLCbwhmq4,NNNCWvfDMU0,pzjaG6vOviE,C_TVhc3bFqM,gFYBano0XRw,4mPpXALHNBY,IQPDzD37Ge4,UtNHsx0Hzxg,0xkY9yOxEJU,ur0XMn4OQD4",13,131
687,s1vi-FHSY6g,wbelote,1078,News & Politics,226,11564,4.48,75,43,"uHA_ZTvOgUM,wKsoXHYICqU,BqTRuZDwm2M,mYspqV-nGks,cMnxkXDcOyc,bB3X5e74LX4,ST9LEktl2sA,Mgbg9shjDpc,jjXyqcx-mYY,yBClpgCFy58,Qw4fRvFhuh4,HPXNOsSmKXI,D_5vxOkyLig",13,11686.48
688,hJH-Gtypyc8,LoneStarFilmSociety,945,Film & Animation,394,467,5,1,0,"Zl3B06YBaHM,CCDfdQa7Ack,CnLQn3CdFMs,8a3DWUCGIqg,tSGfUzrsWLw,PV5Z6EQnqFI,IaKjgr8tjf0,MEAyq7WFsl8,MADc06HfOyA,_Z74ViHWTmg,-LY5WKuuRDI,gAMi5jPA0WM,F4daEO0VcCY",13,473
689,Pq8N3whQbtY,chijingle99,1100,Sports,308,27306,4.56,36,145,"zhXQ5vRMVaI,Pq9En5ZIE9E,xipP8rAoiYU,aNf7wsbNs70,5ayCTYgFm1c,6QkqeTPLfD8,RdNzj-TCtn8,5jZ1CFsf4ZA,zgk6xqR7XCg,AZL7tPrWdto,qmVmd_7UzaU,nY-AEZjsPT0,dDI3ArhV0Hk",13,27491.56
690,fYRMx7ESNW8,thetimman00,663,Music,162,326,5,1,0,"VP0o2T_dNFU,CXw5VIh67wE,XsgSJ7oGMXs,u_d9JbcCJgI,fIVztU14Ebo,OCuu-FB8mgI,U54iwF7t7Dg,nTljh1RV9m8,nogEBPALXkg,mYgAJmXu0rM,wDpxRc1oNpM,hl-i3AdDNpY,zhu0qNbJwNk",13,332
691,WdMvo0tKLFQ,Palesz191,1132,Autos & Vehicles,128,896,3.67,3,0,"Z4A26YUsPgI,DnmO7U92DrY,aLOdTAZW0N4,rRyUPrTQl5s,mU40Qegsuro,aopxJRhz0Pc,4dK-9jLPGqc,XXP7q_LW8QU,LhBz9OXy8SQ,f1Mu4LABHBU,jNZmpUdfSIU,w44_iJbGmdM,Dnx89Y-L_P8",13,902.67
692,ThPq1RRW44s,LanosDawe02,1131,Autos & Vehicles,261,679,3,1,1,"GMq2j2G2W5A,o2_GZ7x8usU,0s9eeiH0qYw,Du-fM3w9i_g,a9lEV2pMWAo,bCz7VSNr7ME,wRKZILLcKA8,zcFLLd5mXd4,xIzKZNpsoJ0,ehUEwDcnNXg,iXmbrj_NKM4,uKJjqahvYi8,rR4Nfl-qkZQ",13,684
693,A6wF2yxqo5U,LanosDawe02,1133,Autos & Vehicles,59,213,2,1,0,"ThPq1RRW44s,Z4A26YUsPgI,ztXK9SoFeCc,-z1_7DW6uUk,Vev6I_m9VNI,DnmO7U92DrY,XeHL9iI-tUo,rRyUPrTQl5s,GLljTv4xja8,mU40Qegsuro,aLOdTAZW0N4,aopxJRhz0Pc,HxdsazczA1Y",13,216
694,ztXK9SoFeCc,Palesz191,1133,Autos & Vehicles,202,449,5,1,0,"o2_GZ7x8usU,Z4A26YUsPgI,0mA89EZU0mE,xAky3gdgz_I,rRyUPrTQl5s,n1-ng3Xjg_c,WdMvo0tKLFQ,aLOdTAZW0N4,poE9aq8R9rQ,CiXVrGSoHK8,mU40Qegsuro,0ue5J1_wWZo,DnmO7U92DrY",13,455
695,GMq2j2G2W5A,BakyP,1133,Autos & Vehicles,386,306,3,1,0,"ThPq1RRW44s,UbhjlofmEBo,ZnRKHpo1Dbo,sHWR57xaJFo,zAp44BPweMY,N0nm0xNePh0,2ojWnunACBk,0s9eeiH0qYw,_kPALRCi3_c,ZY8ARG5b7aI,qluAruAsDJQ,XHVm2u2zqAg,C7xk_1jZ6dw",13,310
696,XXP7q_LW8QU,azoli79,1135,Autos & Vehicles,76,296,3,2,1,"6i04XgbQpug,LcS5AJf3lEM,DnmO7U92DrY,HxdsazczA1Y,rRyUPrTQl5s,f1Mu4LABHBU,w44_iJbGmdM,JPruwTfJxkw,jNZmpUdfSIU,5McXpR8SUAg,r4xWp_KzTQ4,1FdcUPAXXlQ,WPp2Hr8YDQY",13,302
697,XeHL9iI-tUo,webtvstudio,1133,Autos & Vehicles,306,305,0,0,0,"WTIAsx4jU84,b73KvPksivo,JoggOagZsm0,ztXK9SoFeCc,A4G47fppcek,aLOdTAZW0N4,o2_GZ7x8usU,rRyUPrTQl5s,ThPq1RRW44s,1f91jBs1yo4,0kHdSWnd4-w,Vev6I_m9VNI,dRoODgL6NmM",13,305
698,DnmO7U92DrY,op13htv,1134,Autos & Vehicles,595,203,5,2,0,"Nn0ta8pmfgU,hsS9IdHIZ-4,3HXKqvR3PyE,3GPH4ElAvTQ,ERexUOZim9k,ehjea6RSW44,Ba3S-cmBISY,Phheh966jVA,fCiot8sFvds,QHS0hwomQTQ,OoomZSLB_8c,lKKg3RLgA2o,enBZuDWL1rM",13,210
699,rRyUPrTQl5s,Palesz191,1132,Autos & Vehicles,64,684,4.33,3,2,"DnmO7U92DrY,XXP7q_LW8QU,dRoODgL6NmM,f1Mu4LABHBU,w44_iJbGmdM,JDxurXHq6TA,GtTQ7K9ZarU,jNZmpUdfSIU,JPruwTfJxkw,5McXpR8SUAg,r4xWp_KzTQ4,0FvtYAHEmUE,xCewmndnJEY",13,693.33
700,mU40Qegsuro,Boneronymous,1134,Autos & Vehicles,161,88,0,0,1,"Vev6I_m9VNI,0UuEJDM0KAg,4ZenyFpH4JU,au-ZCQ4is1I,6eCQnAqJfN0,ZeccACGL42Q,ZqNWY94npCQ,OAYPEDiTHdg,ebp5vWIax1A,rH4Dsjt9h_A,IWxB_iUHISk,Z4A26YUsPgI,13uciZ-LXIc",13,89
701,aopxJRhz0Pc,Boneronymous,1134,Autos & Vehicles,191,41,0,0,0,"Vev6I_m9VNI,0UuEJDM0KAg,WU75DZQRKVs,QWzgA4XnCII,9k5sx1PLxkQ,tSo05P5QGGY,4ZenyFpH4JU,GjrWxpabHfQ,Xa-hX6soAgg,oxHdvb3RzIM,YFU8NB7o9BM,au-ZCQ4is1I,FWX9UsICbvg",13,41
